fold_id,model_name,segment,rebill_period_t,expected_active_users,actual_active_users,expected_ltv_usd,actual_ltv_usd,n_rows
fold_1,Baseline_Survival,2021-W18_SUB_MONTHLY_EU_SOUTH,4,5.027,4.0,82.95,66.0,1
fold_1,Baseline_Survival,2021-W18_SUB_MONTHLY_EU_SOUTH,5,4.3837,3.0,155.28,115.5,1
fold_1,Baseline_Survival,2021-W18_SUB_MONTHLY_EU_SOUTH,6,3.9196,3.0,219.95,165.0,1
fold_1,BdW,2021-W18_SUB_MONTHLY_EU_SOUTH,4,3.5674,4.0,58.86,66.0,1
fold_1,BdW,2021-W18_SUB_MONTHLY_EU_SOUTH,5,2.8406,3.0,105.73,115.5,1
fold_1,BdW,2021-W18_SUB_MONTHLY_EU_SOUTH,6,2.4795,3.0,146.64,165.0,1
fold_1,Baseline_Survival,2021-W18_SUB_MONTHLY_EU_WEST,4,4.6101,3.0,76.07,49.5,1
fold_1,Baseline_Survival,2021-W18_SUB_MONTHLY_EU_WEST,5,3.9705,3.0,141.58,99.0,1
fold_1,Baseline_Survival,2021-W18_SUB_MONTHLY_EU_WEST,6,3.5207,2.0,199.67,132.0,1
fold_1,BdW,2021-W18_SUB_MONTHLY_EU_WEST,4,3.1669,3.0,52.25,49.5,1
fold_1,BdW,2021-W18_SUB_MONTHLY_EU_WEST,5,2.5746,3.0,94.73,99.0,1
fold_1,BdW,2021-W18_SUB_MONTHLY_EU_WEST,6,2.1788,2.0,130.68,132.0,1
fold_1,Baseline_Survival,2021-W18_SUB_MONTHLY_LATAM,4,9.0755,6.0,149.74,99.0,1
fold_1,Baseline_Survival,2021-W18_SUB_MONTHLY_LATAM,5,7.6444,5.0,275.86,181.5,1
fold_1,Baseline_Survival,2021-W18_SUB_MONTHLY_LATAM,6,6.9764,4.0,390.54,247.5,1
fold_1,BdW,2021-W18_SUB_MONTHLY_LATAM,4,6.1178,6.0,100.94,99.0,1
fold_1,BdW,2021-W18_SUB_MONTHLY_LATAM,5,5.1618,5.0,186.49,181.5,1
fold_1,BdW,2021-W18_SUB_MONTHLY_LATAM,6,4.6119,4.0,268.56,247.5,1
fold_1,Baseline_Survival,2021-W18_SUB_MONTHLY_MENA,4,4.4427,3.0,73.3,49.5,1
fold_1,Baseline_Survival,2021-W18_SUB_MONTHLY_MENA,5,3.8785,2.0,137.3,82.5,1
fold_1,Baseline_Survival,2021-W18_SUB_MONTHLY_MENA,6,3.3822,2.0,193.11,115.5,1
fold_1,BdW,2021-W18_SUB_MONTHLY_MENA,4,3.0109,3.0,49.68,49.5,1
fold_1,BdW,2021-W18_SUB_MONTHLY_MENA,5,2.2604,2.0,86.98,82.5,1
fold_1,BdW,2021-W18_SUB_MONTHLY_MENA,6,1.7004,2.0,115.03,115.5,1
fold_1,Baseline_Survival,2021-W18_SUB_MONTHLY_NA_CA,4,4.3749,3.0,72.19,49.5,1
fold_1,Baseline_Survival,2021-W18_SUB_MONTHLY_NA_CA,5,3.8919,2.0,136.4,82.5,1
fold_1,Baseline_Survival,2021-W18_SUB_MONTHLY_NA_CA,6,3.2295,2.0,189.69,115.5,1
fold_1,BdW,2021-W18_SUB_MONTHLY_NA_CA,4,2.9204,3.0,48.19,49.5,1
fold_1,BdW,2021-W18_SUB_MONTHLY_NA_CA,5,2.3615,2.0,87.15,82.5,1
fold_1,BdW,2021-W18_SUB_MONTHLY_NA_CA,6,1.9398,2.0,119.16,115.5,1
fold_1,Baseline_Survival,2021-W18_SUB_MONTHLY_NA_US,4,4.9484,4.0,81.65,66.0,1
fold_1,Baseline_Survival,2021-W18_SUB_MONTHLY_NA_US,5,4.3716,3.0,153.78,115.5,1
fold_1,Baseline_Survival,2021-W18_SUB_MONTHLY_NA_US,6,3.8875,3.0,217.92,165.0,1
fold_1,BdW,2021-W18_SUB_MONTHLY_NA_US,4,3.7558,4.0,61.97,66.0,1
