fold_id,model_name,segment,fit_region,confidence_weight,regressor,coefficient,p_value
fold_1,Baseline_MMM_Reg,Total_Macro_EU_WEST,EU_WEST,0,spend_gads_youtube,1248.0913,0.317334
fold_1,Baseline_MMM_Reg,Total_Macro_EU_WEST,EU_WEST,0,spend_metads_inst,-1345.2496,0.515561
fold_1,Baseline_MMM_Reg,Total_Macro_EU_WEST,EU_WEST,0,spend_tiktok,738.2667,0.272509
fold_1,Baseline_MMM_Reg,Total_Macro_EU_WEST,EU_WEST,0,spend_gads_discover,-830.0045,0.369625
fold_1,Baseline_MMM_Reg,Total_Macro_EU_WEST,EU_WEST,0,fourier_sin_q1,-162.2738,0.854333
fold_1,Baseline_MMM_Reg,Total_Macro_EU_WEST,EU_WEST,0,fourier_cos_q1,320.8461,0.141005
fold_1,Baseline_MMM_Reg,Total_Macro_EU_WEST,EU_WEST,0,revenue_anomaly_score,-819.7443,0.562226
fold_1,Baseline_MMM_Reg,Total_Macro_EU_WEST,EU_WEST,0,is_structural_peak,-160.1083,0.175582
fold_1,Baseline_MMM_Reg,Total_Macro_EU_WEST,EU_WEST,0,is_sep_nov_trough,438.6707,0.167719
fold_1,Baseline_MMM_Reg,Total_Macro_LATAM,LATAM,0,const,847.7747,0.372885
fold_1,Baseline_MMM_Reg,Total_Macro_LATAM,LATAM,0,spend_gads_search,1411.3423,0.461575
fold_1,Baseline_MMM_Reg,Total_Macro_LATAM,LATAM,0,spend_metads_fb,99.9818,0.349168
fold_1,Baseline_MMM_Reg,Total_Macro_LATAM,LATAM,0,spend_gads_youtube,1149.2766,0.561971
fold_1,Baseline_MMM_Reg,Total_Macro_LATAM,LATAM,0,spend_metads_inst,1774.0442,0.466482
fold_1,Baseline_MMM_Reg,Total_Macro_LATAM,LATAM,0,spend_tiktok,-752.9885,0.332071
fold_1,Baseline_MMM_Reg,Total_Macro_LATAM,LATAM,0,spend_gads_discover,91.5724,0.295428
fold_1,Baseline_MMM_Reg,Total_Macro_LATAM,LATAM,0,fourier_sin_q1,81.8618,0.539358
fold_1,Baseline_MMM_Reg,Total_Macro_LATAM,LATAM,0,fourier_cos_q1,-348.7368,0.058768
fold_1,Baseline_MMM_Reg,Total_Macro_LATAM,LATAM,0,revenue_anomaly_score,309.6369,0.358987
fold_1,Baseline_MMM_Reg,Total_Macro_LATAM,LATAM,0,is_structural_peak,-643.3472,0.150979
fold_1,Baseline_MMM_Reg,Total_Macro_LATAM,LATAM,0,is_sep_nov_trough,454.4105,0.307432
fold_1,Baseline_MMM_Reg,Total_Macro_MENA,MENA,0,const,497.1437,0.589821
fold_1,Baseline_MMM_Reg,Total_Macro_MENA,MENA,0,spend_gads_search,1085.4402,0.227399
fold_1,Baseline_MMM_Reg,Total_Macro_MENA,MENA,0,spend_metads_fb,195.0026,0.393254
fold_1,Baseline_MMM_Reg,Total_Macro_MENA,MENA,0,spend_gads_youtube,386.1062,0.494128
fold_1,Baseline_MMM_Reg,Total_Macro_MENA,MENA,0,spend_metads_inst,587.6612,0.068603
fold_1,Baseline_MMM_Reg,Total_Macro_MENA,MENA,0,spend_tiktok,271.7739,0.266257
fold_1,Baseline_MMM_Reg,Total_Macro_MENA,MENA,0,spend_gads_discover,-252.6265,0.123726
fold_1,Baseline_MMM_Reg,Total_Macro_MENA,MENA,0,fourier_sin_q1,-214.445,0.322419
fold_1,Baseline_MMM_Reg,Total_Macro_MENA,MENA,0,fourier_cos_q1,950.0721,0.205203
fold_1,Baseline_MMM_Reg,Total_Macro_MENA,MENA,0,revenue_anomaly_score,-211.7478,0.359863
fold_1,Baseline_MMM_Reg,Total_Macro_MENA,MENA,0,is_structural_peak,142.6123,0.39816
fold_1,Baseline_MMM_Reg,Total_Macro_MENA,MENA,0,is_sep_nov_trough,-419.3248,0.335294
fold_1,Baseline_MMM_Reg,Total_Macro_NA_CA,NA_CA,0,const,589.4675,0.372049
fold_1,Baseline_MMM_Reg,Total_Macro_NA_CA,NA_CA,0,spend_gads_search,-219.2939,0.297381
fold_1,Baseline_MMM_Reg,Total_Macro_NA_CA,NA_CA,0,spend_metads_fb,-355.1292,0.179089
fold_1,Baseline_MMM_Reg,Total_Macro_NA_CA,NA_CA,0,spend_gads_youtube,-1510.8338,0.455695
fold_1,Baseline_MMM_Reg,Total_Macro_NA_CA,NA_CA,0,spend_metads_inst,2106.1649,0.414504
fold_1,Baseline_MMM_Reg,Total_Macro_NA_CA,NA_CA,0,spend_tiktok,257.9973,0.531893
fold_1,Baseline_MMM_Reg,Total_Macro_NA_CA,NA_CA,0,spend_gads_discover,-670.3622,0.181113
fold_1,Baseline_MMM_Reg,Total_Macro_NA_CA,NA_CA,0,fourier_sin_q1,-104.7882,0.764849
fold_1,Baseline_MMM_Reg,Total_Macro_NA_CA,NA_CA,0,fourier_cos_q1,-392.8272,0.872774
fold_1,Baseline_MMM_Reg,Total_Macro_NA_CA,NA_CA,0,revenue_anomaly_score,202.9368,0.06043
fold_1,Baseline_MMM_Reg,Total_Macro_NA_CA,NA_CA,0,is_structural_peak,214.5728,0.08139
fold_1,Baseline_MMM_Reg,Total_Macro_NA_CA,NA_CA,0,is_sep_nov_trough,278.7164,0.238158
fold_1,Baseline_MMM_Reg,Total_Macro_NA_US,NA_US,0,const,266.1668,0.152997
fold_1,Baseline_MMM_Reg,Total_Macro_NA_US,NA_US,0,spend_gads_search,741.3051,0.469542
fold_1,Baseline_MMM_Reg,Total_Macro_NA_US,NA_US,0,spend_metads_fb,433.5741,0.11967
fold_1,Baseline_MMM_Reg,Total_Macro_NA_US,NA_US,0,spend_gads_youtube,78.9262,0.187039
fold_1,Baseline_MMM_Reg,Total_Macro_NA_US,NA_US,0,spend_metads_inst,-133.0834,0.153304
fold_1,Baseline_MMM_Reg,Total_Macro_NA_US,NA_US,0,spend_tiktok,1893.3462,0.568621
fold_1,Baseline_MMM_Reg,Total_Macro_NA_US,NA_US,0,spend_gads_discover,-1205.2332,0.316817
fold_1,Baseline_MMM_Reg,Total_Macro_NA_US,NA_US,0,fourier_sin_q1,-298.4107,0.561277
fold_1,Baseline_MMM_Reg,Total_Macro_NA_US,NA_US,0,fourier_cos_q1,-93.2353,0.355231
fold_1,Baseline_MMM_Reg,Total_Macro_NA_US,NA_US,0,revenue_anomaly_score,562.9139,0.42
fold_1,Baseline_MMM_Reg,Total_Macro_NA_US,NA_US,0,is_structural_peak,134.2868,0.361903
fold_1,Baseline_MMM_Reg,Total_Macro_NA_US,NA_US,0,is_sep_nov_trough,4.9657,0.474787
fold_1,Baseline_MMM_Reg,Total_Macro_ROW,ROW,0,const,241.7426,0.212487
fold_1,Baseline_MMM_Reg,Total_Macro_ROW,ROW,0,spend_gads_search,948.9859,0.31065
fold_1,Baseline_MMM_Reg,Total_Macro_ROW,ROW,0,spend_metads_fb,-670.3984,0.200259
fold_1,Baseline_MMM_Reg,Total_Macro_ROW,ROW,0,spend_gads_youtube,447.761,0.105979
fold_1,Baseline_MMM_Reg,Total_Macro_ROW,ROW,0,spend_metads_inst,749.0268,0.340943
fold_1,Baseline_MMM_Reg,Total_Macro_ROW,ROW,0,spend_tiktok,454.1888,0.344089
fold_1,Baseline_MMM_Reg,Total_Macro_ROW,ROW,0,spend_gads_discover,219.7911,0.452614
fold_1,Baseline_MMM_Reg,Total_Macro_ROW,ROW,0,fourier_sin_q1,77.9221,0.105634
fold_1,Baseline_MMM_Reg,Total_Macro_ROW,ROW,0,fourier_cos_q1,622.0307,0.107758
fold_1,Baseline_MMM_Reg,Total_Macro_ROW,ROW,0,revenue_anomaly_score,159.1527,0.57878
fold_1,Baseline_MMM_Reg,Total_Macro_ROW,ROW,0,is_structural_peak,-354.0116,0.696996
fold_1,Baseline_MMM_Reg,Total_Macro_ROW,ROW,0,is_sep_nov_trough,-485.7969,0.590819
fold_1,Baseline_MMM_Reg,Total_Macro_SOUTH_ASIA,SOUTH_ASIA,0,const,166.1806,0.215467
fold_1,Baseline_MMM_Reg,Total_Macro_SOUTH_ASIA,SOUTH_ASIA,0,spend_gads_search,890.2797,0.652833
fold_1,Baseline_MMM_Reg,Total_Macro_SOUTH_ASIA,SOUTH_ASIA,0,spend_metads_fb,409.1114,0.16373
fold_1,Baseline_MMM_Reg,Total_Macro_SOUTH_ASIA,SOUTH_ASIA,0,spend_gads_youtube,984.2401,0.145749
fold_1,Baseline_MMM_Reg,Total_Macro_SOUTH_ASIA,SOUTH_ASIA,0,spend_metads_inst,135.871,0.330915
fold_1,Baseline_MMM_Reg,Total_Macro_SOUTH_ASIA,SOUTH_ASIA,0,spend_tiktok,-821.9992,0.427626
fold_1,Baseline_MMM_Reg,Total_Macro_SOUTH_ASIA,SOUTH_ASIA,0,spend_gads_discover,-945.4233,0.264262
fold_1,Baseline_MMM_Reg,Total_Macro_SOUTH_ASIA,SOUTH_ASIA,0,fourier_sin_q1,479.775,0.144183
fold_1,Baseline_MMM_Reg,Total_Macro_SOUTH_ASIA,SOUTH_ASIA,0,fourier_cos_q1,81.5353,0.059252
fold_1,Baseline_MMM_Reg,Total_Macro_SOUTH_ASIA,SOUTH_ASIA,0,revenue_anomaly_score,-90.3813,0.510924
fold_1,Baseline_MMM_Reg,Total_Macro_SOUTH_ASIA,SOUTH_ASIA,0,is_structural_peak,-151.2906,0.468747
fold_1,Baseline_MMM_Reg,Total_Macro_SOUTH_ASIA,SOUTH_ASIA,0,is_sep_nov_trough,217.5744,0.575451
fold_1,Baseline_MMM_Reg,Total_Macro_SSA,SSA,0,const,380.1864,0.658831
fold_1,Baseline_MMM_Reg,Total_Macro_SSA,SSA,0,spend_gads_search,928.8945,0.336288
fold_1,Baseline_MMM_Reg,Total_Macro_SSA,SSA,0,spend_metads_fb,441.42,0.387205
fold_1,Baseline_MMM_Reg,Total_Macro_SSA,SSA,0,spend_gads_youtube,49.8391,0.238722
fold_1,Baseline_MMM_Reg,Total_Macro_SSA,SSA,0,spend_metads_inst,1511.5689,0.366993
fold_1,Baseline_MMM_Reg,Total_Macro_SSA,SSA,0,spend_tiktok,288.4592,0.376214
fold_1,Baseline_MMM_Reg,Total_Macro_SSA,SSA,0,spend_gads_discover,410.3673,0.508719
fold_1,Baseline_MMM_Reg,Total_Macro_SSA,SSA,0,fourier_sin_q1,-141.8309,0.728695
fold_1,Baseline_MMM_Reg,Total_Macro_SSA,SSA,0,fourier_cos_q1,-433.2644,0.80095
fold_1,Baseline_MMM_Reg,Total_Macro_SSA,SSA,0,revenue_anomaly_score,164.2995,0.530263
fold_1,Baseline_MMM_Reg,Total_Macro_SSA,SSA,0,is_structural_peak,412.7747,0.286859
fold_1,Baseline_MMM_Reg,Total_Macro_SSA,SSA,0,is_sep_nov_trough,-82.8091,0.228732
fold_1,Baseline_MMM_Reg,Total_Macro_UK,UK,0,const,588.1569,0.164226
fold_1,Baseline_MMM_Reg,Total_Macro_UK,UK,0,spend_gads_search,204.1733,0.086681
fold_1,Baseline_MMM_Reg,Total_Macro_UK,UK,0,spend_metads_fb,8.5686,0.315207
fold_1,Baseline_MMM_Reg,Total_Macro_UK,UK,0,spend_gads_youtube,348.483,0.359789
fold_1,Baseline_MMM_Reg,Total_Macro_UK,UK,0,spend_metads_inst,437.0194,0.137158
fold_1,Baseline_MMM_Reg,Total_Macro_UK,UK,0,spend_tiktok,-367.9278,0.821626
fold_1,Baseline_MMM_Reg,Total_Macro_UK,UK,0,spend_gads_discover,-37.0528,0.535402
fold_1,Baseline_MMM_Reg,Total_Macro_UK,UK,0,fourier_sin_q1,372.1735,0.643489
fold_1,Baseline_MMM_Reg,Total_Macro_UK,UK,0,fourier_cos_q1,254.2421,0.128767
fold_1,Baseline_MMM_Reg,Total_Macro_UK,UK,0,revenue_anomaly_score,-113.0065,0.221987
fold_1,Baseline_MMM_Reg,Total_Macro_UK,UK,0,is_structural_peak,-350.0484,0.077363
fold_1,Baseline_MMM_Reg,Total_Macro_UK,UK,0,is_sep_nov_trough,26.3624,0.275259
fold_1,Baseline_MMM_Reg,Total_Macro_Global,Global,-1,const,1353.862,0.119472
fold_1,Baseline_MMM_Reg,Total_Macro_Global,Global,-1,spend_gads_search,1840.104,0.187266
fold_1,Baseline_MMM_Reg,Total_Macro_Global,Global,-1,spend_metads_fb,3437.5403,0.559006
fold_1,Baseline_MMM_Reg,Total_Macro_Global,Global,-1,spend_gads_youtube,-963.7595,0.224172
fold_1,Baseline_MMM_Reg,Total_Macro_Global,Global,-1,spend_metads_inst,2164.4359,0.632277
fold_1,Baseline_MMM_Reg,Total_Macro_Global,Global,-1,spend_tiktok,117.596,0.574565
fold_1,Baseline_MMM_Reg,Total_Macro_Global,Global,-1,spend_gads_discover,629.1911,0.163276
fold_1,Baseline_MMM_Reg,Total_Macro_Global,Global,-1,fourier_sin_q1,-1651.0547,0.026644
fold_1,Baseline_MMM_Reg,Total_Macro_Global,Global,-1,fourier_cos_q1,2038.7373,0.281656
fold_1,Baseline_MMM_Reg,Total_Macro_Global,Global,-1,revenue_anomaly_score,-227.5438,0.47826
fold_1,Baseline_MMM_Reg,Total_Macro_Global,Global,-1,is_structural_peak,1543.3547,0.341684
fold_1,Baseline_MMM_Reg,Total_Macro_Global,Global,-1,is_sep_nov_trough,7591.7556,0.337866
fold_2,Baseline_MMM_Reg,Total_Macro_APAC_ANZ,APAC_ANZ,0,const,383.2814,0.297294
fold_2,Baseline_MMM_Reg,Total_Macro_APAC_ANZ,APAC_ANZ,0,spend_gads_search,119.3272,0.910937
fold_2,Baseline_MMM_Reg,Total_Macro_APAC_ANZ,APAC_ANZ,0,spend_metads_fb,868.8901,0.310557
